season,week,celebrity_name,vote_mean,vote_std,vote_CI_lower,vote_CI_upper,viewers,viewers_actual,votes_actual_mean,votes_actual_std,votes_actual_CI_lower,votes_actual_CI_upper,consistency_acceptance,consistency_mse,consistency_kl,certainty_score,confidence_interval_width,relative_uncertainty,is_eliminated
1,1,John O'Hurley,0.1456764663428001,0.1251942299006262,0.004139486635082,0.4696580642625396,17.92,17920000.0,2610522.2768629775,2243480.5998192215,74179.60050066945,8416272.51158471,1.0,5.713433193601186e-06,0.0001112644378777,4.457357707237623e-07,8342092.911084041,0.8593991400506936,False
1,1,Kelly Monaco,0.2907443869611943,0.1592435195033726,0.0496669451450089,0.6411706135718267,17.92,17920000.0,5210139.414344602,2853643.869500437,890031.6569985595,11489777.395207135,1.0,5.713433193601186e-06,0.0001112644378777,3.5042902874423244e-07,10599745.738208575,0.5477096949927596,False
1,1,Evander Holyfield,0.1383992605830774,0.1198041798192684,0.0044336584228057,0.4506753216871925,17.92,17920000.0,2480114.7496487466,2146890.9023612896,79451.15893667814,8076101.764634489,1.0,5.713433193601186e-06,0.0001112644378777,4.6578963705631186e-07,7996650.605697811,0.8656417622069097,False
1,1,Rachel Hunter,0.1481013486009496,0.1266319608805675,0.0063952047543752,0.4767436987473523,17.92,17920000.0,2653976.166929017,2269244.7389797694,114602.06919840358,8543247.081552552,1.0,5.713433193601186e-06,0.0001112644378777,4.4067505903948076e-07,8428645.012354149,0.8550358391520788,False
1,1,Joey McIntyre,0.139144681949328,0.1182764437016283,0.005120123570831,0.4299568461359699,17.92,17920000.0,2493472.7005319577,2119513.8711331794,91752.61438929153,7704826.68275658,1.0,5.713433193601186e-06,0.0001112644378777,4.71806078654857e-07,7613074.068367288,0.8500248952719643,False
1,1,Trista Sutter,0.1379338555626507,0.1222818875450078,0.0040627925134291,0.4565706775438472,17.92,17920000.0,2471774.6916827005,2191291.42480654,72805.24184064948,8181746.5415857425,1.0,5.713433193601186e-06,0.0001112644378777,4.56351689386361e-07,8108941.299745093,0.8865255527455793,False
1,2,John O'Hurley,0.1332014145582394,0.1145783905432051,0.0076430501292142,0.4505583578334164,17.92,17920000.0,2386969.34888365,2053244.7585342352,136963.45831551848,8074005.772374822,0.1257861635220125,0.0042412486037048,0.1011598844202596,4.870337590342215e-07,7937042.314059303,0.8601889921605015,False
1,2,Kelly Monaco,0.307060682311886,0.1527668817161546,0.0862538824747791,0.6533596821811235,17.92,17920000.0,5502527.427028997,2737582.5203534905,1545669.5739480413,11708205.504685733,0.1257861635220125,0.0042412486037048,0.1011598844202596,3.6528565889046375e-07,10162535.930737693,0.4975136528908871,False
1,2,Evander Holyfield,0.2481895776776019,0.1124615903835802,0.0866767057549638,0.5225749381129604,17.92,17920000.0,4447557.231982626,2015311.6996737572,1553246.5671289514,9364542.89098425,0.1257861635220125,0.0042412486037048,0.1011598844202596,4.962009122266147e-07,7811296.323855299,0.4531277720681234,False
1,2,Rachel Hunter,0.135286366556809,0.11084313135138,0.0086366630411794,0.4289533864343994,17.92,17920000.0,2424331.6886980175,1986308.9138167298,154769.00169793484,7686844.6849044375,0.1257861635220125,0.0042412486037048,0.1011598844202596,5.034461103194528e-07,7532075.683206502,0.8193222582028258,False
1,2,Joey McIntyre,0.1427138608234946,0.1084392774987798,0.0180075305793768,0.4486904037059375,17.92,17920000.0,2557432.385957023,1943231.852778134,322694.94798243226,8040532.034410399,0.1257861635220125,0.0042412486037048,0.1011598844202596,5.146063677188015e-07,7717837.086427967,0.7598370394652496,False
1,2,Trista Sutter,0.0335480980719689,0.0286580566750324,0.0011122478050878,0.1037889430967689,17.92,17920000.0,601181.9174496827,513552.3756165806,19931.48066717338,1859897.8602940985,0.1257861635220125,0.0042412486037048,0.1011598844202596,1.947217265974318e-06,1839966.379626925,0.8542378949040221,True
1,3,John O'Hurley,0.180146027195872,0.1408041225964749,0.0081784611386485,0.5212818609423443,17.92,17920000.0,3228216.8073500264,2523209.87692883,146558.02360458113,9341370.94808681,0.2,0.0008820814186814,0.01513114484956,3.963204221825357e-07,9194812.924482228,0.7816110340495002,False
1,3,Kelly Monaco,0.3737380962294638,0.1634969547928421,0.099505243579144,0.7137456677472075,17.92,17920000.0,6697386.684431992,2929865.42988773,1783133.9649382606,12790322.366029957,0.2,0.0008820814186814,0.01513114484956,3.413124877635869e-07,11007188.401091697,0.43746397930078806,False
1,3,Evander Holyfield,0.0882127675524881,0.0722258536599568,0.0020886935402563,0.2567882392499998,17.92,17920000.0,1580772.7945405866,1294287.297586426,37429.3882413929,4601645.247359996,0.2,0.0008820814186814,0.01513114484956,7.726253894629107e-07,4564215.859118603,0.8187687073413856,True
1,3,Rachel Hunter,0.1867950704966045,0.1469128645524549,0.0062913558472794,0.5439922174137194,17.92,17920000.0,3347367.6632991526,2632678.5327799916,112741.09678324685,9748340.536053851,0.2,0.0008820814186814,0.01513114484956,3.7984114190459207e-07,9635599.439270604,0.7864921925502601,False
1,3,Joey McIntyre,0.1711080385255721,0.1383775923044744,0.0061929814543704,0.5194431076750456,17.92,17920000.0,3066256.0503782523,2479726.4540961813,110978.22766231757,9308420.489536818,0.2,0.0008820814186814,0.01513114484956,4.032701248470401e-07,9197442.2618745,0.8087147365890344,False
1,4,John O'Hurley,0.3734953193682594,0.1319726737127624,0.167162513921626,0.6837595439511752,17.92,17920000.0,6693036.123079209,2364950.3129327022,2995552.2494755383,12252971.02760506,0.0362154821186057,0.0334370611024504,0.2672792335135097,4.228416858019505e-07,9257418.778129522,0.35334491992024086,False
