season,week,actual_elim,rank_pred,pct_pred,match_rank,match_pct,bias_metric_rank,bias_metric_pct
25,1,,Barbara Corcoran,Barbara Corcoran,False,False,0.9625711960282041,0.6781288952705651
25,2,Barbara Corcoran,Barbara Corcoran,Barbara Corcoran,True,True,1.005097705960127,3.0154344171627683
25,3,,Sasha Pieterse,Sasha Pieterse,False,False,1.4864864862655223,0.8694069717962819
25,4,Derek Fisher,Derek Fisher,Derek Fisher,True,True,1.163461538326174,6.164314009115998
25,5,Sasha Pieterse,Sasha Pieterse,Sasha Pieterse,True,True,1.0912698411254933,4.368778628024313
25,6,Nick Lachey,Nick Lachey,Nick Lachey,True,True,1.0424710423080306,1.7320000404268316
25,7,Nikki Bella,Nikki Bella,Nikki Bella,True,True,0.9230769229146238,6.420350167000103
25,8,Terrell Owens,Drew Scott,Terrell Owens,False,True,0.9999999996571428,7.371137624755898
25,9,Victoria Arlen,Drew Scott,Victoria Arlen,False,True,0.9999999995,11.34357278369125
25,10,Drew Scott,Drew Scott,Drew Scott,True,True,0.7407407403017833,65.86655723455895
26,1,Jamie Anderson,Jamie Anderson,Jamie Anderson,True,True,0.8814102563160887,5.49066134467952
26,2,Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,True,True,0.9795918365519128,8.927642800072144
26,3,Jennie Finch Daigle,Jennie Finch Daigle,Jennie Finch Daigle,True,True,1.0096153842659024,4.895037330717599
26,4,,Adam Rippon,Josh Norman,False,False,0.9999999985000001,155.44089586847377
27,1,Nikki Glaser,Nikki Glaser,Nikki Glaser,True,True,0.9833748960240273,2.0910592908160948
27,2,Danelle Umstead,Danelle Umstead,Danelle Umstead,True,True,0.8399412627895488,1.9556597556959225
27,3,Nancy McKeon,Joe Amabile,Nancy McKeon,False,True,0.8557284299126287,1.9004135128155133
27,4,Tinashe,Juan Pablo Di Pace,Tinashe,False,True,0.9364358682251492,1.9573912931603672
27,5,,Joe Amabile,Joe Amabile,False,False,0.9440559439222578,0.49847469992718885
27,6,Mary Lou Retton,Mary Lou Retton,Mary Lou Retton,True,True,0.9747292417347418,1.799674457679313
27,7,John Schneider,John Schneider,John Schneider,True,True,1.1089108908548835,10.146353056098917
27,8,Juan Pablo Di Pace,Milo Manheim,Juan Pablo Di Pace,False,True,0.9051724135121877,5.187616805426766
27,9,,Bobby Bones,Bobby Bones,False,False,0.7407407403017833,0.8254892449725805
28,1,,Lamar Odom,Lamar Odom,False,False,1.049541284311233,0.4584938200630605
28,2,Mary Wilson,Mary Wilson,Mary Wilson,True,True,0.9602686065258652,1.0526969737733092
28,3,,Lamar Odom,Lamar Odom,False,False,0.9006550217357363,0.28757328159512235
28,4,Lamar Odom,Lamar Odom,Lamar Odom,True,True,0.7136678200074682,0.7387605073675183
28,5,,Karamo Brown,Karamo Brown,False,False,0.9440559439222578,0.8797221728612965
28,6,Sailor Brinkley-Cook,Sean Spicer,Sailor Brinkley-Cook,False,True,0.8083832334349116,15.269334558397041
28,7,Karamo Brown,Karamo Brown,Karamo Brown,True,True,0.7384615383576669,4.361120977434107
28,8,Kate Flannery,Sean Spicer,Kate Flannery,False,True,0.99999999975,1.2014531669879096
28,9,Sean Spicer,Sean Spicer,Sean Spicer,True,True,0.9999999996571428,0.6897621820212277
28,10,James Van Der Beek,James Van Der Beek,James Van Der Beek,True,True,1.136363635717975,1.6747730612545846
28,11,,Kel Mitchell,Kel Mitchell,False,False,0.9999999991999999,13.075146142210793
29,1,,Charles Oakley,Charles Oakley,False,False,0.9259259258799971,0.41272212133570685
29,2,Charles Oakley,Charles Oakley,Charles Oakley,True,True,1.1093502376519802,1.5586815401989396
29,3,Carole Baskin,Carole Baskin,Carole Baskin,True,True,0.9288422280017344,0.5654187164968258
29,4,Anne Heche,Anne Heche,Anne Heche,True,True,1.160942100001865,2.942627348709247
29,5,Jesse Metcalfe,Jesse Metcalfe,Jesse Metcalfe,True,True,1.1259842518621117,1.2288855656268618
29,6,Veron Davis,Veron Davis,Veron Davis,True,True,0.7405140758325568,1.5044278425545958
29,7,Monica Aldama,Monica Aldama,Monica Aldama,True,True,0.8880516683651183,3.4136311558285217
29,8,Chrishell Stause,Chrishell Stause,Chrishell Stause,True,True,0.9230769229146238,6.079320947121028
29,9,AJ McLean,AJ McLean,AJ McLean,True,True,0.8376068374314413,3.4947244412522562
29,10,Skai Jackson,Skai Jackson,Skai Jackson,True,True,0.9292035395269793,31.67540058107261
29,11,,Nev Schulman,Nev Schulman,False,False,0.7407407403017833,18.028837979003125
30,1,,Martin Kove,Martin Kove,False,False,1.0542168674103418,1.3913369763788994
30,2,Martin Kove,Martin Kove,Martin Kove,True,True,1.0233918128093902,1.6787173437102194
30,3,Christine Chiu,Christine Chiu,Christine Chiu,True,True,0.9411938533733826,6.9008141172528195
