season,celebrity_name,google_trend_raw,anchor_score,popularity_ratio
1,Kelly Monaco,13.97222222222222,19.36111111111111,0.7216642754662841
1,Evander Holyfield,0.0833333333333333,19.36111111111111,0.0043041606886657
1,Rachel Hunter,4.527777777777778,19.36111111111111,0.2338593974175035
2,George Hamilton,1.03921568627451,23.88235294117647,0.0435139573070607
2,Lisa Rinna,2.176470588235294,23.88235294117647,0.0911330049261083
2,Drew Lachey,0.6078431372549019,23.88235294117647,0.0254515599343185
3,Harry Hamlin,0.123076923076923,18.35384615384616,0.0067057837384744
3,Monique Coleman,0.2,18.35384615384616,0.0108968985750209
3,Emmitt Smith,0.4769230769230769,18.35384615384616,0.0259849119865884
3,Willa Ford,1.553846153846154,18.35384615384616,0.0846605196982397
3,Jerry Springer,0.9692307692307692,18.35384615384616,0.0528080469404861
3,Tucker Carlson,0.2153846153846154,18.35384615384616,0.0117351215423302
4,Ian Ziering,0.4,26.384615384615383,0.0151603498542274
5,Josie Maran,0.4923076923076923,27.46153846153846,0.0179271708683473
5,Albert Reed,0.5692307692307692,27.46153846153846,0.0207282913165266
5,Helio Castroneves,0.4923076923076923,27.46153846153846,0.0179271708683473
5,Mel B,0.3846153846153846,27.46153846153846,0.0140056022408963
5,Wayne Newton,1.4307692307692308,27.46153846153846,0.0521008403361344
5,Marie Osmond,4.523076923076923,27.46153846153846,0.1647058823529411
5,Mark Cuban,1.6615384615384616,27.46153846153846,0.0605042016806722
6,Cristian de la Fuente,0.4,32.33846153846154,0.0123691722169362
6,Steve Guttenberg,0.3538461538461538,32.33846153846154,0.0109419600380589
6,Priscilla Presley,3.5846153846153848,32.33846153846154,0.1108468125594671
6,Marlee Matlin,1.1538461538461535,32.33846153846154,0.0356803044719314
6,Shannon Elizabeth,4.753846153846154,32.33846153846154,0.1470028544243577
6,Marissa Jaret Winokur,0.5384615384615384,32.33846153846154,0.016650808753568
6,Jason Taylor,2.6,32.33846153846154,0.0803996194100856
6,Kristi Yamaguchi,1.323076923076923,34.53846153846154,0.0383073496659242
6,Monica Seles,0.7846153846153846,34.53846153846154,0.0227171492204899
6,Penn Jillette,0.0923076923076923,32.33846153846154,0.0028544243577545
6,Adam Carolla,1.2153846153846153,32.33846153846154,0.0375832540437678
6,Mario,60.38461538461539,27.923076923076923,2.162534435261708
7,Ted McGinley,0.1692307692307692,18.615384615384617,0.009090909090909
7,Cloris Leachman,1.2769230769230768,18.615384615384617,0.068595041322314
7,Susan Lucci,1.2153846153846153,18.615384615384617,0.065289256198347
7,Cody Linley,1.0307692307692309,18.615384615384617,0.0553719008264462
7,Misty May-Treanor,0.1538461538461538,18.615384615384617,0.0082644628099173
7,Maurice Greene,0.0307692307692307,18.615384615384617,0.0016528925619834
7,Warren Sapp,0.7692307692307693,18.615384615384617,0.0413223140495867
7,Jeffrey Ross,0.0769230769230769,18.615384615384617,0.0041322314049586
7,Toni Braxton,0.9230769230769232,18.615384615384617,0.0495867768595041
7,Lance Bass,0.5230769230769231,18.615384615384617,0.028099173553719
7,Kim Kardashian,13.36923076923077,18.615384615384617,0.7181818181818181
7,Rocco DiSpirito,0.1846153846153846,19.26153846153846,0.0095846645367412
7,Brooke Burke,3.246153846153846,19.26153846153846,0.1685303514376996
8,Gilles Marini,0.8472222222222222,20.569444444444443,0.0411883862255232
8,Denise Richards,1.3472222222222223,20.569444444444443,0.0654962862930452
8,David Alan Grier,0.0277777777777777,20.569444444444443,0.0013504388926401
8,Lawrence Taylor,0.1388888888888889,20.83333333333333,0.0066666666666666
8,Ty Murray,0.375,20.83333333333333,0.018
8,Shawn Johnson,3.4027777777777777,20.83333333333333,0.1633333333333333
8,Belinda Carlisle,0.3472222222222222,20.83333333333333,0.0166666666666666
8,Chuck Wicks,0.7638888888888888,20.83333333333333,0.0366666666666666
8,Lil' Kim,3.9444444444444446,20.83333333333333,0.1893333333333333
8,Steve-O,0.7083333333333334,20.83333333333333,0.034
8,Holly Madison,2.3472222222222223,20.83333333333333,0.1126666666666666
8,Melissa Rycroft,1.9722222222222223,20.83333333333333,0.0946666666666666
9,Ashley Hamiliton,0.0153846153846153,27.907692307692308,0.0005512679162072
9,Debi Mazar,0.4461538461538462,27.907692307692308,0.015986769570011
9,Melissa Joan Hart,1.123076923076923,27.907692307692308,0.0402425578831312
9,Mark Dacascos,0.3846153846153846,27.907692307692308,0.0137816979051819
9,Chuck Liddell,1.2769230769230768,27.907692307692308,0.0457552370452039
9,Natalie Coughlin,0.5384615384615384,27.907692307692308,0.0192943770672546
9,Louie Vito,0.8307692307692308,27.907692307692308,0.0297684674751929
9,Michael Irvin,0.3692307692307692,27.907692307692308,0.0132304299889746
9,Joanna Krupa,3.4,27.907692307692308,0.1218302094818081
9,Kathy Ireland,1.353846153846154,27.907692307692308,0.0485115766262403
9,Tom DeLay,1.323076923076923,27.907692307692308,0.0474090407938257
9,Macy Gray,0.6,27.907692307692308,0.0214994487320837
9,Aaron Carter,2.292307692307692,27.907692307692308,0.0821389195148842
9,Mya,3.969230769230769,27.907692307692308,0.1422271223814774
9,Donny Osmond,1.2923076923076924,27.907692307692308,0.0463065049614112
9,Kelly Osbourne,1.5692307692307692,27.907692307692308,0.0562293274531422
10,Aiden Turner,0.2,23.76923076923077,0.0084142394822006
10,Shannen Doherty,0.3230769230769231,23.76923076923077,0.0135922330097087
10,Niecy Nash,0.4,23.76923076923077,0.0168284789644012
10,Buzz Aldrin,0.7692307692307693,23.76923076923077,0.0323624595469255
10,Chad Ochocinco,1.5076923076923077,23.76923076923077,0.0634304207119741
